ID,AUTHOR,WORK,LOCATION,TEXT
12,Aeschines (0026),Against Timarchus (001),30.3,"τὸν γὰρ τὴν ἰδίαν οἰκίαν κακῶς οἰκήσαντα, καὶ τὰ κοινὰ τῆς πόλεως παραπλησίως ἡγήσατο διαθήσειν, καὶ οὐκ ἐδόκει οἷόν τ’ εἶναι τῷ νομοθέτῃ τὸν αὐτὸν ἄνθρωπον ἰδίᾳ μὲν εἶναι πονηρόν, δημοσίᾳ δὲ χρηστόν, οὐδ’ ᾤετο δεῖν τὸν ῥήτορα ἥκειν ἐπὶ τὸ βῆμα τῶν λόγων ἐπιμεληθέντα πρότερον, ἀλλ’ οὐ τοῦ βίου."
13,Aeschines (0026),Against Timarchus (001),51.5,"ὁ γὰρ πρὸς ἕνα τοῦτο πράττων, ἐπὶ μισθῷ δὲ τὴν πρᾶξιν ποιούμενος, αὐτῷ μοι δοκεῖ τούτῳ ἔνοχος εἶναι."
14,Aeschines (0026),Against Timarchus (001),52.9,"ὁ γὰρ εἰκῇ τοῦτο καὶ πρὸς πολλοὺς πράττων καὶ μισθοῦ, αὐτῷ μοι δοκεῖ τούτῳ ἔνοχος εἶναι."
15,Aeschines (0026),Against Timarchus (001),70.1,"εἴπατέ μοι πρὸς τοῦ Διὸς καὶ τῶν ἄλλων θεῶν, ὦ ἄνδρες Ἀθηναῖοι, ὅστις αὑτὸν κατῄσχυνε πρὸς Ἡγήσανδρον, οὐ δοκεῖ ὑμῖν πρὸς τὸν πόρνον πεπορνεῦσθαι;"
16,Aeschines (0026),Against Timarchus (001),78.5,"οὐδὲν γὰρ οἶμαι δοκεῖ προσδεῖσθαι ὑμῖν λόγου οὐδὲ μαρτυρίας, ὅσα τις σαφῶς οἶδεν αὐτός."
17,Aeschines (0026),Against Timarchus (001),79.8,"τῶν ψήφων ἡ τετρυπημένη, ὅτῳ δοκεῖ πεπορνεῦσθαι Τίμαρχος, ἡ δὲ πλήρης, ὅτῳ μή, τί ἂν ἐψηφίσασθε;"
18,Aeschines (0026),Against Timarchus (001),89.3,"καὶ γὰρ ἔμοιγε δοκεῖ Τίμαρχος οὑτοσί, ὦ ἄνδρες Ἀθηναῖοι, οὐχ ὑπὲρ αὑτοῦ μόνον ἐσπουδακέναι, ἀλλὰ καὶ περὶ τῶν ἄλλων τῶν ταὐτὰ διαπεπραγμένων αὐτῷ."
19,Aeschines (0026),Against Timarchus (001),185.6,"ἢ τίς οὐκ ἀπαίδευτος εἶναι δόξει τῇ μὲν κατὰ φύσιν ἁμαρτανούσῃ χαλεπαίνων, τῷ δὲ παρὰ φύσιν ἑαυτὸν ὑβρίσαντι συμβούλῳ χρώμενος;"
20,Aeschines (0026),The Speech on the Embassy (002),51.4,"ἐδόκει δεινὸς εἶναι λέγειν Αἰσχίνῃ Φίλιππος, ἀλλ’ οὐκ ἐμοί, ἀλλ’ εἴ τις αὐτοῦ τὴν τύχην περιελὼν ἑτέρῳ περιθείη, οὐκ ἂν πολύ τι καταδεὴς εἴη."
21,Aeschines (0026),The Speech on the Embassy (002),52.1,"ἐδόκει Κτησιφῶντι τὴν ὄψιν λαμπρὸς εἶναι, ἐμοὶ δ’ οὐ χείρων Ἀριστόδημος ὁ ὑποκριτής, παρῆν δ’ ἡμῖν καὶ συνεπρέσβευε."
22,Aeschines (0026),The Speech on the Embassy (002),57.1,"τοὺς γὰρ λόγους τούτους ἐναντίον φησὶ τῶν πρέσβεων λέγεσθαι οὓς ἔπεμψαν πρὸς ὑμᾶς οἱ Ἕλληνες μεταπεμφθέντες ὑπὸ τοῦ δήμου, ἵνα κοινῇ καὶ πολεμοῖεν, εἰ δέοι, Φιλίππῳ, καὶ τῆς εἰρήνης, εἰ τοῦτο εἶναι δοκοίη συμφέρον, μετέχοιεν."
23,Aeschines (0026),The Speech on the Embassy (002),69.1,"σκοπεῖτε δὴ πότερα ὑμῖν δοκεῖ Δημοσθένης ἐμοῦ κατηγορηκέναι, ἢ τοὐναντίον αὐτὸς αὑτοῦ ἐπὶ τῷ ἐμῷ ὀνόματι."
24,Aeschines (0026),The Speech on the Embassy (002),116.1,"τούτων δὲ ἀναγνωσθέντων ἀπεφηνάμην, ὅτι ἐμοὶ δοκεῖ δίκαιον εἶναι μὴ περιορᾶν κατεσκαμμένας τὰς ἐν Βοιωτοῖς πόλεις."
25,Aeschines (0026),The Speech on the Embassy (002),130.1,"ἀλλ’ ἔμοιγε νὴ τοὺς θεοὺς οὗτος δοκεῖ τοῦτο μόνον λογίζεσθαι, ὅπως μεταξὺ λέγων εὐδοκιμήσει·"
26,Aeschines (0026),Against Ctesiphon (003),58.1,"ὑμῖν γὰρ ἐξεγένετ’ ἄν, ὦ ἄνδρες Ἀθηναῖοι, τὴν προτέραν ἐκείνην εἰρήνην ποιήσασθαι μετὰ κοινοῦ συνεδρίου τῶν Ἑλλήνων, εἴ τινες ὑμᾶς εἴασαν περιμεῖναι τὰς πρεσβείας ἃς ἦτε ἐκπεπομφότες κατ’ ἐκεῖνον τὸν καιρὸν εἰς τὴν Ἑλλάδα, παρακαλοῦντες ἐπὶ Φίλιππον, καὶ προϊόντος τοῦ χρόνου παρ’ ἑκόντων τῶν Ἑλλήνων ἀπολαβεῖν τὴν ἡγεμονίαν·"
27,Aeschines (0026),Against Ctesiphon (003),226.1,"σαυτὸν δ’ οὐκ ἀντερωτᾷς, τίς ἂν εἴη δημαγωγὸς τοιοῦτος, ὅστις τὸν μὲν δῆμον θωπεῦσαι δύναιτο, τοὺς δὲ καιροὺς ἐν οἷς ἦν σῴζεσθαι τὴν πόλιν, ἀποδοῖτο, τοὺς δ’ εὖ φρονοῦντας κωλύοι διαβάλλων συμβουλεύειν, ἀποδρὰς δ’ ἐκ τῶν κινδύνων καὶ τὴν πόλιν ἀνηκέστοις συμφοραῖς περιβαλὼν ἀξιοίη στεφανοῦσθαι ἐπ’ ἀρετῇ, ἀγαθὸν μὲν πεποιηκὼς μηδέν, πάντων δὲ τῶν κακῶν αἴτιος γεγονώς, ἐπερωτῴη δὲ τοὺς συκοφαντηθέντας ἐκ τῆς πολιτείας ἐπ’ ἐκείνων τῶν καιρῶν ὅτ’ ἐνῆν σῴζεσθαι, διὰ τί αὐτὸν οὐκ ἐκώλυσαν ἐξαμαρτάνειν, ἀποκρύπτοιτο δὲ τὸ πάντων τελευταῖον, ὅτι τῆς μάχης ἐπιγενομένης οὐκ ἐσχολάζομεν περὶ τὴν σὴν εἶναι τιμωρίαν, ἀλλ’ ὑπὲρ τῆς σωτηρίας τῆς πόλεως ἐπρεσβεύομεν."
28,Aeschines (0026),The Speech on the Embassy (002),44.3,"τῶν δ’ ἐπὶ τοῦ βήματος παρ’ ὑμῖν λόγων ὑμεῖς ἀκηκόατε, ὥστε οὐκ ἐνέσται μοι ψεύδεσθαι."
29,Aeschines (0026),Against Ctesiphon (003),t.1,"ἐβουλόμην μὲν οὖν, ὦ ἄνδρες Ἀθηναῖοι, καὶ τὴν βουλὴν τοὺς πεντακοσίους καὶ τὰς ἐκκλησίας ὑπὸ τῶν ἐφεστηκότων ὀρθῶς διοικεῖσθαι, καὶ τοὺς νόμους οὓς ἐνομοθέτησεν ὁ Σόλων περὶ τῆς τῶν ῥητόρων εὐκοσμίας ἰσχύειν, ἵνα ἐξῆν πρῶτον μὲν τῷ πρεσβυτάτῳ τῶν πολιτῶν, ὥσπερ οἱ νόμοι προστάττουσι, σωφρόνως ἐπὶ τὸ βῆμα παρελθόντι ἄνευ θορύβου καὶ ταραχῆς ἐξ ἐμπειρίας τὰ βέλτιστα τῇ πόλει συμβουλεύειν, δεύτερον δ’ ἤδη καὶ τῶν ἄλλων πολιτῶν τὸν βουλόμενον καθ’ ἡλικίαν χωρὶς καὶ ἐν μέρει περὶ ἑκάστου γνώμην ἀποφαίνεσθαι·"
30,Aeschines (0026),Against Ctesiphon (003),47.1,"ἀλλ’ οὐκ ἐκεῖνον τὸν ἐν τῇ ἐκκλησίᾳ ἀναρρηθέντα στέφανον οὐδεὶς καθιεροῖ, ἀλλ’ ἔξεστι κεκτῆσθαι, ἵνα μὴ μόνον αὐτός, ἀλλὰ καὶ οἱ ἐξ ἐκείνου, ἔχοντες ἐν τῇ οἰκία τὸ ὑπόμνημα, μηδέποτε κακοὶ τὴν ψυχὴν εἰς τὸν δῆμον γίγνωνται."
31,Aeschines (0026),Against Timarchus (001),3.6,"ἐμὲ δ’ ἐξῆν αὐτῷ, εἰ ἐσωφρόνει, μὴ συκοφαντεῖν."
32,Aeschines (0026),Against Timarchus (001),32.3,"ἐπειδὰν δὲ οὗτοι πάντες εἴπωσι, τότ’ ἤδη κελεύει λέγειν τῶν ἄλλων Ἀθηναίων τὸν βουλόμενον, οἷς ἔξεστιν."
33,Aeschines (0026),Against Timarchus (001),32.3,"ἐὰν δέ τις παρὰ ταῦτα μὴ μόνον λέγῃ, ἀλλὰ καὶ συκοφαντῇ καὶ ἀσελγαίνῃ, καὶ μηκέτι τὸν τοιοῦτον ἄνθρωπον δύνηται λέγειν ἡ πόλις, δοκιμασίαν μέν, φησίν, ἐπαγγειλάτω Ἀθηναίων ὁ βουλόμενος, οἷς ἔξεστιν, ὑμᾶς δ’ ἤδη κελεύει περὶ τούτων ἐν δῷ δικαστηρίῳ διαγιγνώσκειν·"
34,Aeschines (0026),Against Timarchus (001),78.5,"φέρε δὴ πρὸς τοῦ Διός, εἰ, ὥσπερ περὶ τοῦ γένους, οὕτω καὶ περὶ τοῦ ἐπιτηδεύματος τούτου ἐδέησε δοῦναι ψῆφον Τίμαρχον, εἴτ’ ἔνοχός ἐστιν εἴτε μή, ἐκρίνετο δὲ τὸ πρᾶγμα ἐν τῷ δικαστηρίῳ, εἰσήγετο δ’ εἰς ὑμᾶς ὥσπερ νυνί, μὴ ἐξῆν δ’ ἐκ τοῦ νόμου ἢ τοῦ ψηφίσματος μήτε ἐμοὶ κατηγορεῖν μήτε τούτῳ ἀπολογεῖσθαι, ὁ δὲ κῆρυξ οὑτοσὶ ὁ νυνὶ παρεστηκὼς ἐμοὶ ἐπηρώτα ὑμᾶς τὸ ἐκ τοῦ νόμου κήρυγμα·"
35,Aeschines (0026),Against Timarchus (001),150.1,"ὡς τοίνυν ἐξῆν αὐτῷ σωθῆναι μὴ τιμωρησαμένῳ τὸν τοῦ Πατρόκλου θάνατον, ἀνάγνωθι ἃ λέγει ἡ Θέτις."
36,Aeschines (0026),The Speech on the Embassy (002),67.3,"μαρτυρεῖ Ἀμύντωρ Αἰσχίνῃ, ὅτε ἐβουλεύετο ὁ δῆμος περὶ τῆς συμμαχίας τῆς πρὸς Φίλιππον κατὰ τὸ Δημοσθένους ψήφισμα, ἐν τῇ ὑστέρᾳ τῶν δυοῖν ἐκκλησιῶν, ὅτε οὐκ ἐξῆν δημηγορεῖν, ἀλλὰ τὰ περὶ τῆς εἰρήνης καὶ συμμαχίας ψηφίσματα ἐπεψηφίζετο, ἐν ταύτῃ τῇ ἐκκλησίᾳ Δημοσθένην ἐπιδείξασθαι παρακαθήμενον ψήφισμα ἑαυτῷ, ἐφ’ ᾧ ἐπεγέγραπτο τὸ Δημοσθένους ὄνομα, καὶ ἀνακοινοῦσθαι αὐτὸν αὑτῷ, εἰ δῷ τοῖς προέδροις ἐπιψηφίσαι, καὶ εἶναι, ἐφ’ οἷς τὴν εἰρήνην καὶ τὴν συμμαχίαν ἔγραψε ποιεῖσθαι, ἐπὶ τοῖς αὐτοῖς ἐφ’ οἷσπερ καὶ Φιλοκράτης ἐγεγράφει."
37,Aeschines (0026),The Speech on the Embassy (002),105.1,"δεῖ δὴ τοὺς πρὸς τὰ κοινὰ φιλοτιμουμένους μὴ κατέχειν μὲν ἑτέρων χώραν πρέσβεων, οὓς ἐξῆν πέμπειν ἀνθ’ ἡμῶν Ἀθηναίους, αὐτοὺς δὲ τὰς πρὸς Θηβαίους ἀπεχθείας φεύγειν, ὧν εἷς ὢν Ἐπαμεινώνδας, οὐχ ὑποπτήξας τὸ τῶν Ἀθηναίων ἀξίωμα, εἶπε διαρρήδην ἐν τῷ πλήθει τῶν Θηβαίων, ὡς δεῖ τὰ τῆς Ἀθηναίων ἀκροπόλεως προπύλαια μετενεγκεῖν εἰς τὴν προστασίαν τῆς Καδμείας."
38,Aeschines (0026),Against Ctesiphon (003),148.7,"οὐ γὰρ ῥήτωρ ἀστράτευτος καὶ λιπὼν τὴν τάξιν αὐτοὺς ἐνουθέτησεν, ἀλλ’ ὁ Φωκικὸς πόλεμος δεκέτης γεγονὼς ἀείμνηστον παιδείαν αὐτοὺς ἐπαίδευσε—τούτων ἐχόντων οὕτως αἰσθόμενος Δημοσθένης, καὶ τοὺς Βοιωτάρχας ὑποπτεύσας μέλλειν εἰρήνην ἰδίᾳ ποιεῖσθαι, χρυσίον ἄνευ αὑτοῦ παρὰ Φιλίππου λαβόντας, ἀβίωτον ἡγησάμενος εἶναι εἴ τινος ἀπολειφθήσεται δωροδοκίας, ἀναπηδήσας ἐν τῇ ἐκκλησία, οὐδενὸς ἀνθρώπων λέγοντος οὔθ’ ὡς δεῖ ποιεῖσθαι πρὸς Φίλιππον εἰρήνην οὔθ’ ὡς οὐ δεῖ, ἀλλ’ ὡς ᾤετο κήρυγμά τι τοῦτο τοῖς Βοιωτάρχαις προκηρύττων ἀναφέρειν αὑτῷ τὰ μέρη τῶν λημμάτων, διώμνυτο τὴν Ἀθηνᾶν, ἣν ὡς ἔοικε Φειδίας ἐνεργολαβεῖν ἠργάσατο καὶ ἐνεπιορκεῖν Δημοσθένει, ἦ μήν, εἴ τις ἐρεῖ ὡς χρὴ πρὸς Φίλιππον εἰρήνην ποιήσασθαι, ἀπάξειν εἰς τὸ δεσμωτήριον ἐπιλαβόμενος τῶν τριχῶν, ἀπομιμούμενος τὴν Κλεοφῶντος πολιτείαν, ὃς ἐπὶ τοῦ πρὸς Λακεδαιμονίους πολέμου, ὡς λέγεται, τὴν πόλιν ἀπώλεσεν."
39,Aeschines (0026),Against Ctesiphon (003),215.5,"οὕτω δ’ ἐστὶν ὡς ἔοικε δεινὸς δημιουργὸς λόγων, ὥστε οὐκ ἀποχρῇ αὐτῷ, εἴ τι πεπολίτευμαι παρ’ ὑμῖν ἐγώ, ἢ εἴ τινας δημηγορίας εἴρηκα, τούτων κατηγορεῖν, ἀλλὰ καὶ τὴν ἡσυχίαν αὐτὴν τοῦ βίου διαβάλλει καὶ τῆς σιωπῆς μου κατηγορεῖ, ἵνα μηδεὶς αὐτῷ τόπος ἀσυκοφάντητος παραλείπηται, καὶ τὰς ἐν τοῖς γυμνασίοις μετὰ τῶν νεωτέρων μου διατριβὰς καταμέμφεται, καὶ κατὰ τῆσδε τῆς κρίσεως εὐθὺς ἀρχόμενος τοῦ λόγου φέρει τινὰ αἰτίαν, λέγων ὡς ἐγὼ τὴν γραφὴν οὐχ ὑπὲρ τῆς πόλεως ἐγραψάμην, ἀλλ’ ἐνδεικνύμενος Ἀλεξάνδρῳ διὰ τὴν πρὸς αὐτὸν ἔχθραν."
40,Aeschines (0026),Against Timarchus (001),2.5,"καὶ ὡς ἔοικεν, ὦ ἄνδρες Ἀθηναῖοι, οἱ εἰωθότες λόγοι λέγεσθαι ἐπὶ τοῖς δημοσίοις ἀγῶσιν οὐκ εἰσὶ ψευδεῖς·"
41,Aeschines (0026),Against Timarchus (001),134.1,"ἄτοπον γὰρ εἶναι δοκεῖν αὐτῷ, εἰ τοὺς μὲν υἱεῖς τοὺς μηδέπω γεγονότας ἅπαντες εὔχεσθε οἱ μέλλοντες παιδοποιεῖσθαι καλοὺς κἀγαθοὺς τὰς ἰδέας φῦναι καὶ τῆς πόλεως ἀξίους, τοὺς δ’ ἤδη γεγονότας, ἐφ’ οἷς προσήκει σεμνύνεσθαι τὴν πόλιν, ἐὰν κάλλει καὶ ὥρᾳ διενεγκόντες ἐκπλήξωσί τινας καὶ περιμάχητοι ἐξ ἔρωτος γένωνται, τούτους ὡς ἔοικεν Αἰσχίνῃ πεισθέντες ἀτιμώσετε."
42,Aeschines (0026),Against Timarchus (001),149.10,"μὴ ἐμὰ σῶν ἀπάνευθε τιθήμεναι ὀστέ’, Ἀχιλλεῦ, ἀλλ’ ἵνα πέρ σε καὶ αὐτὸν ὁμοίη γαῖα κεκεύθῃ, χρυσέῳ ἐν ἀμφιφορεῖ, τόν τοι πόρε πότνια μήτηρ, ὡς ὁμοῦ ἐτράφομέν περ ἐν ὑμετέροισι δόμοισιν, εὖτέ με τυτθὸν ἐόντα Μενοίτιος ἐξ Ὀπόεντος ἤγαγεν ὑμέτερόνδ’ ἀνδροκτασίης ὕπο λυγρῆς, ἤματι τῷ, ὅτε παῖδα κατέκτανον Ἀμφιδάμαντος, νήπιος, οὐκ ἐθέλων, ἀμφ’ ἀστραγάλοισι χολωθείς·"
43,Aeschines (0026),Against Timarchus (001),9.1,"ὁ γὰρ νομοθέτης πρῶτον μὲν τοῖς διδασκάλοις, οἷς ἐξ ἀνάγκης παρακατατιθέμεθα τοὺς ἡμετέρους αὐτῶν παῖδας, οἷς ἐστιν ὁ μὲν βίος ἀπὸ τοῦ σωφρονεῖν, ἡ δ’ ἀπορία ἐκ τῶν ἐναντίων, ὅμως ἀπιστῶν φαίνεται, καὶ διαρρήδην ἀποδείκνυσι, πρῶτον μὲν ἣν ὥραν προσήκει ἰέναι τὸν παῖδα τὸν ἐλεύθερον εἰς τὸ διδασκαλεῖον, ἔπειτα μετὰ πόσων παίδων εἰσιέναι, καὶ πηνίκα ἀπιέναι, καὶ τοὺς διδασκάλους τὰ διδασκαλεῖα καὶ τοὺς παιδοτρίβας τὰς παλαίστρας ἀνοίγειν μὲν ἀπαγορεύει μὴ πρότερον πρὶν ἂν ἥλιος ἀνίσχῃ, κλῄειν δὲ προστάττει πρὸ ἡλίου δεδυκότος, τὰς ἐρημίας καὶ τὸ σκότος ἐν πλείστῃ ὑποψίᾳ ποιούμενος·"
44,Aeschines (0026),Against Timarchus (001),13.3,"ἐκ γὰρ τοῦ πράττεσθαί τιν’ ὧν οὐ προσῆκεν, ἐκ τούτου τοὺς νόμους ἔθεντο οἱ παλαιοί."
45,Aeschines (0026),Against Timarchus (001),75.1,"οὐκοῦν τὸν αὐτὸν τρόπον προσήκει ὑμᾶς καὶ περὶ Τιμάρχου ἐξετάζειν, καὶ μὴ σκοπεῖν εἴ τις εἶδεν, ἀλλ’ εἰ πέπρακται τούτῳ ἡ πρᾶξις."
46,Aeschines (0026),Against Timarchus (001),89.3,"εἰ δ’ ὁ μὲν ἀγών ἐστιν Ἀθήνησιν, οἱ δ’ αὐτοὶ δικασταί μοι καὶ μάρτυρές ἐστε τῶν λόγων, ἐμοὶ μὲν ἀναμιμνῄσκειν προσήκει, ὑμᾶς δέ μοι μὴ ἀπιστεῖν."
47,Aeschines (0026),Against Timarchus (001),121.3,τόλμησον γὰρ εἰς τοὺς δικαστὰς βλέψας εἰπεῖν ἃ προσήκει ἀνδρὶ σώφρονι τὰ περὶ τὴν ἡλικίαν·
48,Aeschines (0026),Against Timarchus (001),134.1,"ἄτοπον γὰρ εἶναι δοκεῖν αὐτῷ, εἰ τοὺς μὲν υἱεῖς τοὺς μηδέπω γεγονότας ἅπαντες εὔχεσθε οἱ μέλλοντες παιδοποιεῖσθαι καλοὺς κἀγαθοὺς τὰς ἰδέας φῦναι καὶ τῆς πόλεως ἀξίους, τοὺς δ’ ἤδη γεγονότας, ἐφ’ οἷς προσήκει σεμνύνεσθαι τὴν πόλιν, ἐὰν κάλλει καὶ ὥρᾳ διενεγκόντες ἐκπλήξωσί τινας καὶ περιμάχητοι ἐξ ἔρωτος γένωνται, τούτους ὡς ἔοικεν Αἰσχίνῃ πεισθέντες ἀτιμώσετε."
49,Aeschines (0026),The Speech on the Embassy (002),114.10,"εἶπον, ὅτι τὸν μέλλοντα ὑπὲρ Ἑλληνικῶν ἱερῶν βουλεύεσθαι πολλὴν προσήκει πρόνοιαν ὑπὲρ εὐσεβείας ἔχειν, καὶ τοῖς περὶ τῶν πατρίων ἐγχειροῦσι διδάσκειν προσέχειν τὸν νοῦν."
50,Aeschines (0026),Against Ctesiphon (003),43.1,"ἐκ δὲ τούτου τοῦ τρόπου συνέβαινε τοὺς μὲν θεατὰς καὶ τοὺς χορηγοὺς καὶ τοὺς ἀγωνιστὰς ἐνοχλεῖσθαι, τοὺς δὲ ἀνακηρυττομένους ἐν τῷ θεάτρῳ μείζοσι τιμαῖς τιμᾶσθαι τῶν ὑπὸ τοῦ δήμου στεφανουμένων."
51,Aeschines (0026),Against Ctesiphon (003),69.4,"ἔπειτα ἀπήντησαν ὀρθῶς ἰασόμενοι τὸ Δημοσθένους δωροδόκημα, καὶ προσέγραψαν ἐξεῖναι τῷ βουλομένῳ τῶν Ἑλλήνων ἐν τρισὶ μησὶν εἰς τὴν αὐτὴν στήλην ἀναγράφεσθαι μετ’ Ἀθηναιων καὶ μετέχειν τῶν ὅρκων καὶ τῶν συνθηκῶν, δύο τὰ μέγιστα προκαταλαμβάνοντες, πρῶτον μὲν τὸν χρόνον τὸν τῆς τριμήνου ταῖς τῶν Ἑλλήνων πρεσβείαις ἱκανὸν παραγενέσθαι κατασκευάζοντες, ἔπειτα τὴν τῶν Ἑλλήνων εὔνοιαν τῇ πόλει μετὰ κοινοῦ συνεδρίου κτώμενοι, ἵν’ εἰ παραβαίνοιντο αἱ συνθῆκαι, μὴ μόνοι μηδ’ ἀπαράσκευοι πολεμήσαιμεν, ὃ νῦν ἡμῖν παθεῖν συνέβη διὰ Δημοσθένην."
